# Game Items
# KEY DEFAULT_VALUE

# Engine Variables
# Do not touch !
playerName Felix
health 10

# You can edit here

progress 0
Evidence_1 -1
Evidence_2 -1
Profile_1 -1
Profile_2 -1

General_Evidence_Badge -1
Case1_Evidence_Autopsy -1
Case1_Evidence_CrimeScene -1
Case1_Evidence_Notice -1
Case1_Evidence_Bill -1
Case1_Evidence_Plan -1
Case1_Evidence_Message -1

Case1_Profile_Felix -1
Case1_Profile_MadLaine -1
Case1_Profile_Buendia -1
Case1_Profile_Antonin -1
Case1_Profile_Lucas -1
Case1_Profile_Clelia -1
